"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","R","전통시장","1001349","방천골목시장","LL","다이나믹","103","48","117","55"
"2021","3","R","전통시장","1001348","동북시장","HL","상권축소","135","51","117","55"
"2021","3","R","전통시장","1001347","석관황금시장","LL","다이나믹","109","50","117","55"
"2021","3","R","전통시장","1001346","석관시장","HL","상권축소","139","53","117","55"
"2021","3","R","전통시장","1001345","새석관시장","HH","정체","210","58","117","55"
"2021","3","R","전통시장","1001344","번동시장","HH","정체","272","84","117","55"
"2021","3","R","전통시장","1001343","장위전통시장","HH","정체","138","69","117","55"
"2021","3","R","전통시장","1001342","밤나무골시장","LL","다이나믹","109","53","117","55"
"2021","3","R","전통시장","1001341","길음시장","HH","정체","153","69","117","55"
"2021","3","R","전통시장","1001340","정릉시장","HH","정체","137","63","117","55"
"2021","3","R","전통시장","1001339","정릉아리랑시장","HH","정체","132","60","117","55"
"2021","3","R","전통시장","1001338","돈암제일시장","LH","상권확장","111","62","117","55"
"2021","3","R","전통시장","1001337","유영시장","HH","정체","165","62","117","55"
"2021","3","R","전통시장","1001336","우림골목시장","HH","정체","126","57","117","55"
"2021","3","R","전통시장","1001335","묵1동도깨비시장","LL","다이나믹","98","54","117","55"
"2021","3","R","전통시장","1001334","태능시장","LH","상권확장","109","59","117","55"
"2021","3","R","전통시장","1001333","중화제일시장","LL","다이나믹","107","55","117","55"
"2021","3","R","전통시장","1001332","사가정시장","LL","다이나믹","116","50","117","55"
"2021","3","R","전통시장","1001331","면목골목시장","HL","상권축소","127","53","117","55"
"2021","3","R","전통시장","1001330","동원시장","HL","상권축소","119","50","117","55"
"2021","3","R","전통시장","1001329","동부골목시장","LL","다이나믹","117","55","117","55"
"2021","3","R","전통시장","1001328","이문제일시장","HH","정체","140","55","117","55"
"2021","3","R","전통시장","1001327","이경시장","HL","상권축소","134","45","117","55"
"2021","3","R","전통시장","1001326","회기시장","HH","정체","125","55","117","55"
"2021","3","R","전통시장","1001325","청량리청과물시장","HH","정체","127","73","117","55"
"2021","3","R","전통시장","1001324","전곡시장","HH","정체","136","58","117","55"
"2021","3","R","전통시장","1001323","답십리시장","LL","다이나믹","111","48","117","55"
"2021","3","R","전통시장","1001322","동부시장","HH","정체","164","76","117","55"
"2021","3","R","전통시장","1001321","답십리현대시장","HH","정체","169","64","117","55"
"2021","3","R","전통시장","1001320","전농로터리시장","HH","정체","155","61","117","55"
"2021","3","R","전통시장","1001319","청량리종합시장","HH","정체","127","103","117","55"
"2021","3","R","전통시장","1001318","청량리전통시장","HH","정체","147","79","117","55"
"2021","3","R","전통시장","1001317","청량리농수산물시장","HH","정체","155","85","117","55"
"2021","3","R","전통시장","1001316","서울약령시장","HH","정체","155","70","117","55"
"2021","3","R","전통시장","1001315","동서시장","HH","정체","175","155","117","55"
"2021","3","R","전통시장","1001314","경동시장","HH","정체","172","113","117","55"
"2021","3","R","전통시장","1001313","청량리수산시장","HH","정체","157","106","117","55"
"2021","3","R","전통시장","1001312","용두시장","HL","상권축소","152","35","117","55"
"2021","3","R","전통시장","1001311","동부청과시장","HH","정체","357","193","117","55"
"2021","3","R","전통시장","1001310","구의시장","HH","정체","119","97","117","55"
"2021","3","R","전통시장","1001309","조양시장","HH","정체","120","55","117","55"
"2021","3","R","전통시장","1001308","영동교골목시장","HH","정체","131","56","117","55"
"2021","3","R","전통시장","1001307","능동로골목시장","HL","상권축소","123","53","117","55"
"2021","3","R","전통시장","1001306","노룬산골목시장","HL","상권축소","155","52","117","55"
"2021","3","R","전통시장","1001305","자양종합시장","HH","정체","196","56","117","55"
"2021","3","R","전통시장","1001304","자양골목시장","HL","상권축소","131","54","117","55"
"2021","3","R","전통시장","1001303","신성골목시장","HH","정체","169","67","117","55"
"2021","3","R","전통시장","1001302","면곡골목시장","LL","다이나믹","113","53","117","55"
"2021","3","R","전통시장","1001301","중곡제일시장","HL","상권축소","118","53","117","55"
"2021","3","R","전통시장","1001300","화양제일골목시장","LL","다이나믹","104","51","117","55"
"2021","3","R","전통시장","1001299","한아름시장","HL","상권축소","149","51","117","55"
"2021","3","R","전통시장","1001298","성동용답상가시장","LL","다이나믹","115","50","117","55"
"2021","3","R","전통시장","1001297","뚝도시장","LH","상권확장","117","61","117","55"
"2021","3","R","전통시장","1001296","금남시장","HH","정체","150","64","117","55"
"2021","3","R","전통시장","1001295","행당시장","LH","상권확장","116","57","117","55"
"2021","3","R","전통시장","1001294","마장축산물시장","HH","정체","159","98","117","55"
"2021","3","R","전통시장","1001293","보광시장","HH","정체","168","79","117","55"
"2021","3","R","전통시장","1001292","이태원제일시장","HH","정체","123","70","117","55"
"2021","3","R","전통시장","1001291","이태원시장","HH","정체","160","78","117","55"
"2021","3","R","전통시장","1001290","이촌종합시장","HH","정체","140","59","117","55"
"2021","3","R","전통시장","1001289","용문전통시장","HH","정체","143","57","117","55"
"2021","3","R","전통시장","1001288","만리시장","HH","정체","130","66","117","55"
"2021","3","R","전통시장","1001287","신흥시장","LH","상권확장","79","59","117","55"
"2021","3","R","전통시장","1001286","후암시장","LH","상권확장","96","64","117","55"
"2021","3","R","전통시장","1001285","합동(새벽)시장","LH","상권확장","105","69","117","55"
"2021","3","R","전통시장","1001284","서울중앙시장","HH","정체","146","84","117","55"
"2021","3","R","전통시장","1001283","백학시장","LH","상권확장","117","57","117","55"
"2021","3","R","전통시장","1001282","약수시장","HH","정체","135","64","117","55"
"2021","3","R","전통시장","1001281","청평화시장","LH","상권확장","117","69","117","55"
"2021","3","R","전통시장","1001280","제일평화시장","LH","상권확장","110","66","117","55"
"2021","3","R","전통시장","1001279","동평화시장","HH","정체","139","70","117","55"
"2021","3","R","전통시장","1001278","남평화시장","HH","정체","131","94","117","55"
"2021","3","R","전통시장","1001277","방산종합시장","HH","정체","182","78","117","55"
"2021","3","R","전통시장","1001276","평화시장","HH","정체","152","55","117","55"
"2021","3","R","전통시장","1001275","인현시장","HH","정체","147","57","117","55"
"2021","3","R","전통시장","1001274","신중부시장","HH","정체","157","87","117","55"
"2021","3","R","전통시장","1001273","남대문시장","HH","정체","159","71","117","55"
"2021","3","R","전통시장","1001272","신설종합시장","HL","상권축소","227","35","117","55"
"2021","3","R","전통시장","1001271","동묘시장","HL","상권축소","120","54","117","55"
"2021","3","R","전통시장","1001270","창신골목시장","HH","정체","140","61","117","55"
"2021","3","R","전통시장","1001269","동문시장","LH","상권확장","102","61","117","55"
"2021","3","R","전통시장","1001268","충신시장","HH","정체","131","85","117","55"
"2021","3","R","전통시장","1001267","종로신진시장","HH","정체","151","77","117","55"
"2021","3","R","전통시장","1001266","동대문종합시장","HH","정체","143","79","117","55"
"2021","3","R","전통시장","1001265","광장시장","HH","정체","194","102","117","55"
"2021","3","R","전통시장","1001264","통인시장","HH","정체","131","59","117","55"
"2021","3","D","발달상권","1001263","서울 노원구 노원역_3","LL","다이나믹","106","49","117","55"
"2021","3","D","발달상권","1001262","서울 노원구 노원역_2","LL","다이나믹","117","49","117","55"
