상권_코드,면적당_점포수,월_평균_소득_금액,의료_총_매출_비율,면적당_외식_점포수,총_직장_인구_수,외식_총_점포수,남성_매출_비율,연령대_30_생활인구_비율,자동차_총_매출_비율,면적,화요일_매출_비율,남성_생활인구_비율,시간대_1_생활인구_비율,남성_직장_인구_수,여성_매출_비율,const
1000870,750.6196644682376,3907514,0.1533495378264647,34.174553829448215,58260,28.0,0.4720463338084716,0.1594556114788322,0.016628485696089,0.8193230594827078,0.1681177510026529,0.4578034849523864,0.2482821554580176,0.6653621695846207,0.5279536661915284,1.0
1000871,921.3509400661804,4467258,0.1622513467708638,47.86238649694444,97256,36.0,0.4381704972121105,0.1625073671748627,0.0038417772831364,0.7521563932525233,0.1494859308556004,0.4562510104470603,0.2538836987195443,0.6759480134901703,0.5618295027878895,1.0
1000872,473.76346986851553,3971650,0.1061733772933454,35.175014004158925,40560,32.0,0.4518332032717725,0.1596573584724104,0.0268958108848392,0.9097366669482057,0.1495820957649243,0.4399317803226172,0.2425481243441028,0.4479289940828402,0.5481667967282274,1.0
1000873,172.81104625169655,5576971,0.0007953155437613,16.72364963726096,150400,12.0,0.5041390409474553,0.1695820709469481,0.0119744414070691,0.7175467233697316,0.1381674773777206,0.4824689481650355,0.2323655315466052,0.5524202127659574,0.4958609590525446,1.0
1000874,17.804776473194966,3419145,0.0,0.0,33592,0.0,0.6803229003294392,0.1644636434478162,0.0,1.067129375569777,0.1050113736332765,0.4500429235639554,0.2762865681605612,0.4983329364134318,0.3196770996705608,1.0
1000875,415.7478334461521,4619576,0.0297409168802522,22.41777533288075,37200,22.0,0.6222304267707652,0.2244930872146522,0.0784676423066975,0.9813641038561044,0.1601847523668141,0.4951037465011438,0.2064819930208199,0.5821505376344086,0.3777695732292347,1.0
1000876,645.7118638599187,3246690,0.0792916260136223,41.75503969532962,62736,28.0,0.5442254829586247,0.2346669613443825,0.3057269242352841,0.6705777363476403,0.1642893281162537,0.5164039777868557,0.2052512112431625,0.680566182096404,0.4557745170413753,1.0
1000877,398.14878918179375,3325054,0.0942080881351742,30.23914854545269,33560,24.0,0.6049128937006996,0.2432712687675046,0.0472896879321362,0.79367314076074,0.1703153112415338,0.4904876605651792,0.2489287264339095,0.5246722288438618,0.3950871062993004,1.0
1000878,269.6528505390559,3595777,0.0,16.2023171997716,17736,14.0,0.5800673303428372,0.236918591048864,0.0386228037025429,0.8640739363007506,0.1350595607917379,0.4904249134154739,0.2526567567904806,0.5737483085250338,0.4199326696571628,1.0
1000879,498.8417230625026,3338385,0.0352239973854099,27.907229262237912,53272,24.0,0.4912035007635525,0.1577867546366166,0.2994962038167197,0.8599922183057815,0.1470888153075839,0.4420453781274762,0.2570796432508584,0.5080342393752816,0.5087964992364474,1.0
1000880,191.05193536980372,3659650,0.0285413291824287,7.3079975278067,49440,7.0,0.3809376096731739,0.1743993435879283,0.000252036287426,0.95785473015901,0.2748392568738395,0.470117471603248,0.2520677012791511,0.6669093851132686,0.6190623903268261,1.0
