상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000171,3172981.743535989,357.0,2026.0,2121.0,10086.0,313145118.302521,62.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000172,3102403.969883641,248.0,3170.0,12313.0,3445.0,279640189.7258065,69.5,38.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1000173,3102403.969883641,380.0,4058.0,11790.0,499.0,210091610.76842105,60.0,33.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000174,3376772.0826850412,391.0,2951.0,8070.0,34.0,200092590.05882353,56.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000175,3376772.0826850412,637.0,8034.0,10001.0,1.0,186097504.72684458,55.0,21.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1000176,3376772.0826850412,760.0,8731.0,8555.0,1.0,181126671.66315788,53.75,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000177,3376772.0826850412,407.0,3064.0,14052.0,1085.0,241983429.57985258,61.75,48.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
1000178,3376772.0826850412,489.0,5058.0,18238.0,670.0,240017183.4969325,63.75,26.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1000179,2799963.8562705494,414.0,3967.0,732.0,0.0,123607976.73913044,48.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000180,2799963.8562705494,455.0,4258.0,2918.0,0.0,129345574.59120879,48.0,32.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000181,2799963.8562705494,571.0,4871.0,5907.0,560.0,151211273.78108582,49.0,38.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
1000182,3807487.0260557053,182.0,1049.0,6591.0,4487.0,326243324.9120879,66.75,18.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1000183,3807487.0260557053,366.0,3719.0,1912.0,686.0,185761977.98360655,64.25,31.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0
1000184,3172981.743535989,140.0,613.0,10295.0,2241.0,327255545.1,74.75,52.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
1000185,3376772.0826850412,478.0,3828.0,13692.0,116.0,213630649.22594142,59.75,37.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000186,3102403.969883641,181.0,5216.0,3496.0,6947.0,328477724.80110496,63.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000187,3172981.743535989,310.0,2045.0,1286.0,4814.0,252368289.61935484,57.0,19.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000188,3172981.743535989,756.0,6819.0,3579.0,93.0,144738991.7142857,49.5,39.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0
1000189,3172981.743535989,244.0,1747.0,7838.0,10215.0,366642748.5696721,65.5,57.0,1.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
1000190,3115400.6282534553,294.0,2263.0,2747.0,2979.0,201412900.14285713,61.0,51.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0
1000191,3807487.0260557053,278.0,2337.0,1598.0,0.0,161303559.16546762,46.75,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000192,3115400.6282534553,103.0,1053.0,1839.0,2112.0,241667799.7961165,64.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
1000193,3279791.638795987,820.0,5259.0,6268.0,3081.0,171386495.22439024,57.5,76.0,4.0,0.0,4.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,13.0
1000194,3051641.8696325496,1046.0,4702.0,9044.0,32.0,152559178.06118548,44.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
1000195,3376772.0826850412,608.0,4893.0,10359.0,314.0,209809302.52631578,59.75,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000196,3376772.0826850412,490.0,6226.0,8507.0,1.0,190184564.84285715,53.75,52.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1000197,3376772.0826850412,668.0,7373.0,15409.0,397.0,209280552.502994,57.75,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0
