상권_코드,리뷰_수,평균_별점,사장님_댓글_비율,맛있다_비율,친절_비율,분위기_비율,싸다_비율,비싸다_비율,F_제품_단가,D_제품_단가,맛_매력도_pca,SNS_언급량_pca,입소문_포토제닉_pca
1000598,845.0,4.610650887573964,0.272189349112426,1.0424434409820054,0.6790824643864671,0.4947130351910795,1.563451974171573,1.1007226095783358,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000599,53.0,4.669811320754717,0.0188679245283018,0.9967719502834016,1.0199235536348563,1.075555355239611,0.61547492111576,1.1094357683832825,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000600,243.0,4.308641975308642,0.0082304526748971,1.030300868990376,0.3935697410195917,0.6451119054575033,2.684787721739529,0.7479248988502338,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000601,121.0,4.595041322314049,0.0082644628099173,1.100997835131576,1.065311124362409,0.6281480311592219,1.213146848645527,1.19278931972688,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000602,359.0,4.555710306406685,0.0835654596100278,1.0268911947542394,0.9266072139301031,0.3572701284465839,0.4997519206274207,1.1018503630284209,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000603,297.0,4.526936026936027,0.2289562289562289,1.0672507750509146,0.4620166525012598,0.8637035428439301,2.086812274624816,0.5399457825924148,23519.97435897436,7473.307692307692,-0.029693018298848784,-2.548213777075272,-0.0822138007368043
1000604,427.0,4.242388758782202,0.0,0.9682521541292792,0.9251153112144664,0.6452492509770814,0.9931199546809336,0.7135630096414513,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000605,638.0,4.557210031347962,0.2680250783699059,1.0278489004847546,0.638712676341867,0.7594634600869041,1.2782198596839844,0.7708191517008957,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000606,243.0,4.308641975308642,0.0082304526748971,1.030300868990376,0.3935697410195917,0.6451119054575033,2.684787721739529,0.7479248988502338,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000607,1801.0,4.432259855635758,0.2853970016657413,1.033672942142021,1.5030291876762252,1.147368532067797,1.358419106849054,1.297039111176882,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
