상권_코드,외식업_합계
1000282,1311683792.999991
1000283,431817696.9999994
1000284,2763441012.999998
1000285,503981480.9999965
1000286,1113687974.9999938
1000287,327996447.9999989
1000288,3078563807.9999847
1000289,228810895.99999833
1000290,1986302354.9999938
1000291,4762022531.999981
1000292,5333419452.999983
1000293,792630873.9999979
1000294,914624224.999996
1000295,1019591423.0000007
1000296,88776610.9999991
1000297,466871343.99999666
1000298,1999757280.9999876
1000299,1195769224.999991
1000300,858322675.9999928
1000301,783533336.9999921
1000302,947546883.9999888
1000303,1273287380.999994
1000304,2206815124.999986
1000305,754303919.9999993
1000306,3721158406.999997
1000307,571668344.9999969
1000308,2207906160.000003
1000309,1494607463.0000005
1000310,1349049323.9999936
1000311,890540664.9999931
1000312,1314269321.9999924
1000313,537957454.9999957
1000314,1634829732.9999967
1000315,851027714.9999921
1000316,839777992.9999952
1000317,238214448.999998
1000318,434651521.99999577
1000319,838189222.9999945
1000320,237670239.99999905
1000321,421119916.9999958
1000322,2034288110.9999743
1000323,640511967.999995
1000324,1928922245.9999933
1000325,536887255.9999986
1000326,718438511.9999993
1000327,1414901364.0000005
1000328,146916101.9999997
1000329,1207542736.999992
1000330,1982464684.999989
1000331,671581421.9999995
1000332,138789405.99999952
1000333,306597000.99999785
1000334,502732597.9999993
1000335,478795749.99999744
1000336,1197793824.9999938
1000337,3262542435.9999905
1000338,834021448.9999968
1000339,622356502.999997
1000340,474356156.99999905
1000341,88587254.99999999
1000342,3612271902.9999685
1000343,262688155.999999
1000344,193521173.99999988
1000345,66485167.99999936
1000346,2840734790.9999876
1000347,144293102.99999908
1000348,264086622.99999985
1000349,2394252415.9999847
1000350,1275929502.9999938
1000351,731004037.9999933
1000352,2499808779.9999776
1000353,650920046.999996
1000354,494980845.9999955
1000355,317349727.99999964
1000356,460895318.0
1000357,650258872.0000002
1000358,1632383398.9999914
1000359,2335182295.999981
1000360,7390427119.999962
1000361,1356256800.9999948
1000362,2121608499.9999924
1000363,789011093.999997
1000364,584620729.9999969
1000365,1714346874.9999938
1000366,2495499681.999999
1000367,1984963364.9999928
1000368,2091199205.9999967
1000369,1831705785.9999878
1000370,1145297456.999998
1000371,2795249874.9999895
1000372,790091639.9999955
1000373,2407699005.000001
1000374,684816024.999995
1000375,782868503.0
1000376,596309178.9999996
1000377,1789368593.0
1000378,1458838787.0000024
1000379,2357252225.999998
1000380,7550623480.999956
1000381,8462547210.99993
1000382,813242426.9999983
1000383,1337054170.9999902
1000384,1014244421.9999928
1000385,3364705017.999976
1000386,5089171025.999984
1000387,811679518.0000001
1000388,208734433.99999887
1000389,350232542.9999989
1000390,1215746119.999994
1000391,410200606.9999993
1000392,71601316.99999999
1000393,650424324.9999967
1000394,2493434954.0000014
1000395,154192623.9999985
1000396,2506232699.9999857
1000397,391571362.99999774
1000398,585253603.9999996
1000399,630408965.9999958
1000400,306040052.9999994
1000401,2828417359.999977
1000402,2405897769.999982
1000403,794598736.9999943
1000404,2218968783.9999876
1000405,2147545880.99999
1000406,2296357179.9999886
1000407,650956636.9999977
1000408,697154407.9999965
1000409,755598594.9999994
1000410,588417078.9999979
1000411,1705229060.9999862
1000412,868527370.9999937
1000413,4903628798.999989
1000414,200306812.99999946
1000415,2056416956.999998
1000416,2229335545.999982
1000417,652114724.9999969
1000418,2314240313.999982
1000419,1093582062.999994
1000420,699952153.9999981
1000421,1280102697.9999952
1000422,777324109.9999985
1000423,144132884.00000006
1000424,328411565.9999985
1000425,1676966538.999999
1000426,437750548.999998
1000427,1003062348.9999914
1000428,822185079.9999974
1000429,1202648161.999998
1000430,1251424928.9999862
1000431,207229084.99999815
1000432,605807055.9999995
1000433,1683853645.9999928
1000434,80941949.99999955
1000435,1811933100.999986
1000436,190896050.9999999
1000437,1295049670.9999938
1000438,3362131731.9999776
1000439,413294886.9999988
1000440,1289365056.9999936
1000441,3034363407.9999914
1000442,2336919113.999978
1000443,654684538.9999964
1000444,853655290.9999965
1000445,9484705045.999947
1000446,1813677601.9999938
1000447,3018045883.9999804
1000448,124054745.99999917
1000449,2621902960.999983
1000450,1852223095.9999835
1000451,5938572982.99999
1000452,6115295498.999994
1000453,487448735.9999962
1000454,1736407227.999989
1000455,1410943070.9999928
1000456,420971589.99999744
1000457,542267025.9999974
1000458,2255924951.99999
1000459,2028089744.0000005
1000460,957181359.9999924
1000461,737152557.9999998
1000462,7759415893.000011
1000463,306568928.99999905
1000464,1060036652.9999924
1000465,2528248078.999988
1000466,1390657180.9999995
1000467,2938082563.000002
1000468,1719247814.9999914
1000469,6056788221.999985
1000470,19993261089.999844
1000471,7826842940.99995
1000472,2123110629.9999971
1000473,1540189240.9999933
1000474,3297082415.9999766
1000475,1765753567.9999833
1000476,3489387350.9999895
1000477,18501663234.999886
1000478,1180479067.9999964
1000479,764021383.9999945
1000480,10380946969.999977
1000481,2266266872.9999924
1000482,3056660360.9999924
1000483,2414414635.9999866
1000484,1158455367.999999
1000485,2897089553.0
1000486,174309478.00000027
1000487,4331529186.999989
1000488,3919306874.9999676
1000489,75533282.99999978
1000490,294662310.999998
1000491,6754162189.999956
1000492,6411529290.000002
1000493,2738756335.999978
1000494,1531965890.999987
1000495,1610912382.9999964
1000496,1735150061.9999993
1000497,3078468009.9999933
1000498,3117402190.999998
1000499,2054016657.9999843
1000500,5287489819.999962
